timestamp,segment_id,speed_kmh,simulated_speed,flow_vph,simulated_flow,congestion_index,simulated_congestion,congestion_change,simulated_status
2026-01-15 23:55:00,R0001,59.95,59.940408,444.0,532.8,0.0008,0.00096,0.00015999999999999999,Normal
2026-01-15 23:55:00,R0002,29.95,29.939217999999997,577.5,693.0,0.0018,0.00216,0.0003600000000000001,Normal
2026-01-15 23:55:00,R0003,29.99,29.9888004,182.0,218.4,0.0002,0.00024,3.9999999999999996e-05,Normal
2026-01-15 23:55:00,R0004,59.95,59.940408,434.8,521.76,0.0008,0.00096,0.00015999999999999999,Normal
2026-01-15 23:55:00,R0005,39.99,39.9884004,268.5,322.2,0.0002,0.00024,3.9999999999999996e-05,Normal
2026-01-15 23:55:00,R0006,40.0,,0.0,0.0,0.0,,,Severe
2026-01-15 23:55:00,R0007,49.72,49.6643136,566.6,679.92,0.0056,0.006719999999999999,0.0011199999999999995,Normal
2026-01-15 23:55:00,R0008,49.95,49.94001,318.5,382.2,0.001,0.0012,0.00019999999999999987,Normal
2026-01-15 23:55:00,R0009,49.58,49.495714,374.4,449.28,0.0085,0.0102,0.0017000000000000001,Moderate
2026-01-15 23:55:00,R0010,29.9,29.880266,548.3,657.9599999999999,0.0033,0.00396,0.00066,Normal
2026-01-15 23:55:00,R0011,49.15,48.98289,949.0,1138.8,0.017,0.0204,0.0034000000000000002,Moderate
2026-01-15 23:55:00,R0012,39.54,39.4498488,829.2,995.04,0.0114,0.01368,0.002279999999999999,Moderate
2026-01-15 23:55:00,R0013,29.96,29.9522104,525.1,630.12,0.0013,0.00156,0.00026000000000000003,Normal
2026-01-15 23:55:00,R0014,40.0,39.9992,158.6,190.32,0.0001,0.00012,1.9999999999999998e-05,Normal
2026-01-15 23:55:00,R0015,60.0,59.998799999999996,137.4,164.88,0.0001,0.00012,1.9999999999999998e-05,Normal
2026-01-15 23:55:00,R0016,60.0,60.0,66.4,79.68,0.0,0.0,0.0,Normal
2026-01-15 23:55:00,R0017,59.94,59.928012,315.5,378.59999999999997,0.001,0.0012,0.00019999999999999987,Normal
2026-01-15 23:55:00,R0018,49.94,49.928014399999995,167.7,201.23999999999998,0.0012,0.0014399999999999999,0.00023999999999999998,Normal
2026-01-15 23:55:00,R0019,39.96,39.9528072,307.0,368.4,0.0009,0.00108,0.00018000000000000004,Normal
2026-01-15 23:55:00,R0020,59.99,59.9876004,181.0,217.2,0.0002,0.00024,3.9999999999999996e-05,Normal
2026-01-15 23:55:00,R0021,39.98,39.976801599999995,276.6,331.92,0.0004,0.00048,7.999999999999999e-05,Normal
2026-01-15 23:55:00,R0022,49.93,49.915021,419.6,503.52,0.0015,0.0018,0.0002999999999999999,Normal
2026-01-15 23:55:00,R0023,39.94,39.927219199999996,639.7,767.64,0.0016,0.00192,0.00031999999999999997,Normal
2026-01-15 23:55:00,R0024,29.99,29.987001,282.8,339.36,0.0005,0.0006,9.999999999999994e-05,Normal
2026-01-15 23:55:00,R0025,59.97,59.964003,249.9,299.88,0.0005,0.0006,9.999999999999994e-05,Normal
2026-01-15 23:55:00,R0026,59.95,59.940408,299.0,358.8,0.0008,0.00096,0.00015999999999999999,Normal
2026-01-15 23:55:00,R0027,49.98,49.9760016,360.9,433.08,0.0004,0.00048,7.999999999999999e-05,Normal
2026-01-15 23:55:00,R0028,49.89,49.8690462,411.2,493.43999999999994,0.0021,0.0025199999999999997,0.0004199999999999998,Normal
2026-01-15 23:55:00,R0029,39.97,39.9644042,284.2,341.03999999999996,0.0007,0.0008399999999999999,0.00013999999999999993,Normal
2026-01-15 23:55:00,R0030,29.96,29.951012000000002,364.6,437.52000000000004,0.0015,0.0018,0.0002999999999999999,Normal
2026-01-15 23:55:00,R0031,59.93,59.915616799999995,342.4,410.87999999999994,0.0012,0.0014399999999999999,0.00023999999999999998,Normal
2026-01-15 23:55:00,R0032,39.96,39.9528072,462.6,555.12,0.0009,0.00108,0.00018000000000000004,Normal
2026-01-15 23:55:00,R0033,59.91,59.893225199999996,413.8,496.56,0.0014,0.0016799999999999999,0.00027999999999999987,Normal
2026-01-15 23:55:00,R0034,29.98,29.9758028,321.9,386.28,0.0007,0.0008399999999999999,0.00013999999999999993,Normal
2026-01-15 23:55:00,R0035,59.97,59.9628036,458.4,550.0799999999999,0.0006,0.0007199999999999999,0.00011999999999999999,Normal
2026-01-15 23:55:00,R0036,49.93,49.916019600000006,612.5,735.0,0.0014,0.0016799999999999999,0.00027999999999999987,Normal
2026-01-15 23:55:00,R0037,39.97,39.9636048,147.4,176.88,0.0008,0.00096,0.00015999999999999999,Normal
2026-01-15 23:55:00,R0038,49.93,49.916019600000006,357.0,428.4,0.0014,0.0016799999999999999,0.00027999999999999987,Normal
2026-01-15 23:55:00,R0039,29.99,29.9876008,233.5,280.2,0.0004,0.00048,7.999999999999999e-05,Normal
2026-01-15 23:55:00,R0040,49.93,49.915021,546.6,655.92,0.0015,0.0018,0.0002999999999999999,Normal
2026-01-15 23:55:00,R0041,39.91,39.89084319999999,212.4,254.88,0.0024,0.0028799999999999997,0.00047999999999999996,Normal
2026-01-15 23:55:00,R0042,59.97,59.964003,248.2,297.84,0.0005,0.0006,9.999999999999994e-05,Normal
2026-01-15 23:55:00,R0043,60.0,60.0,31.7,38.04,0.0,0.0,0.0,Normal
2026-01-15 23:55:00,R0044,49.95,49.939011,325.4,390.47999999999996,0.0011,0.00132,0.00021999999999999993,Normal
2026-01-15 23:55:00,R0045,40.0,39.9992,127.7,153.24,0.0001,0.00012,1.9999999999999998e-05,Normal
2026-01-15 23:55:00,R0046,59.75,59.69981,516.4,619.68,0.0042,0.005039999999999999,0.0008399999999999996,Normal
2026-01-15 23:55:00,R0047,50.0,49.999,143.2,171.83999999999997,0.0001,0.00012,1.9999999999999998e-05,Normal
2026-01-15 23:55:00,R0048,49.99,49.9880004,174.8,209.76000000000002,0.0002,0.00024,3.9999999999999996e-05,Normal
2026-01-15 23:55:00,R0049,39.96,39.9528072,469.6,563.52,0.0009,0.00108,0.00018000000000000004,Normal
2026-01-15 23:55:00,R0050,39.98,39.976801599999995,360.7,432.84,0.0004,0.00048,7.999999999999999e-05,Normal
2026-01-15 23:55:00,R0051,40.0,40.0,35.7,42.84,0.0,0.0,0.0,Normal
2026-01-15 23:55:00,R0052,49.81,49.773140600000005,493.8,592.56,0.0037,0.00444,0.0007400000000000002,Normal
2026-01-15 23:55:00,R0053,59.87,59.843657199999996,413.6,496.32,0.0022,0.00264,0.00043999999999999985,Normal
2026-01-15 23:55:00,R0054,29.92,29.9038432,667.3,800.7599999999999,0.0027,0.0032400000000000003,0.0005400000000000001,Normal
2026-01-15 23:55:00,R0055,50.0,49.999,165.7,198.83999999999997,0.0001,0.00012,1.9999999999999998e-05,Normal
2026-01-15 23:55:00,R0056,40.0,,0.0,0.0,0.0,,,Severe
2026-01-15 23:55:00,R0057,29.97,29.964006,543.9,652.68,0.001,0.0012,0.00019999999999999987,Normal
2026-01-15 23:55:00,R0058,49.74,49.6892652,317.0,380.4,0.0051,0.0061200000000000004,0.00102,Normal
