segment_id,observations,congested_observations,congestion_frequency,peak_congested_observations,average_speed,average_flow,average_congestion,average_delay,average_queue,congestion_frequency_pct,bottleneck_type,bottleneck_score
R0312,4317,2459,0.5696085244382673,1339,28.084593467685895,635.5287468149178,0.06384595784109336,0.2669738244151031,11.988881167477414,56.960852443826724,Recurring Bottleneck,50.39573004371549
R0119,4317,2448,0.5670604586518415,1329,28.078737549223998,1912.348019457957,0.06404292332638406,0.23695760945100766,39.360342830669445,56.70604586518415,Recurring Bottleneck,48.025618080203216
R0108,4317,2430,0.5628908964558721,1347,28.16035904563354,1891.407250405374,0.06132351169793839,0.23421380588371554,33.69284225156358,56.28908964558721,Recurring Bottleneck,47.530009883235344
R0402,4317,2401,0.5561732684734769,1336,28.178976140838547,624.3893212879315,0.06070192263145704,0.20123442205235118,10.267871206856613,55.61732684734769,Recurring Bottleneck,44.704882027863746
R0068,4317,2335,0.5408848737549224,1308,28.29212184387306,1207.823812832986,0.0569288858003243,0.20795899930507297,15.835950891823027,54.08848737549224,Recurring Bottleneck,44.331032338822574
R0124,4317,2396,0.5550150567523743,1348,28.1902084781098,1248.9799397729905,0.06032768126013435,0.18901065554783414,20.733819782256194,55.501505675237425,Recurring Bottleneck,43.72001991608163
R0281,4317,2434,0.5638174658327543,1353,37.533845262914056,1875.041440815381,0.06165353254574936,0.17934352559647904,30.93842946490619,56.38174658327543,Recurring Bottleneck,43.47571803926067
R0286,4317,2219,0.5140143618253417,1291,28.439122075515403,1181.574797312949,0.05202802872365068,0.21252629140606902,12.609636321519574,51.40143618253417,Recurring Bottleneck,43.18263255021023
R0195,4317,2435,0.5640491081769747,1347,28.149015520037064,1891.4808200138987,0.06169935140143619,0.1751602965022006,32.75388000926569,56.40491081769747,Recurring Bottleneck,43.17529467940282
R0172,4317,2457,0.5691452397498262,1364,37.436038915913834,1271.617882788974,0.06409872596710679,0.16822492471623812,22.808987722955756,56.91452397498262,Recurring Bottleneck,42.98253000154302
R0096,4317,2397,0.5552466990965949,1337,37.62563354181144,1241.5324530924252,0.059358744498494334,0.17104239054899234,19.4347695158675,55.52466990965949,Recurring Bottleneck,42.35646955615594
R0317,4317,2410,0.5582580495714616,1330,28.185119295807276,1876.2916145471393,0.06049793838313644,0.1616048181607598,30.298146861246238,55.82580495714616,Recurring Bottleneck,41.83421197162036
R0302,4317,2327,0.5390317350011582,1322,37.72164697706741,1215.7542506370164,0.05695876766272875,0.16741162844567986,17.46138522121844,53.90317350011582,Recurring Bottleneck,41.20172920119798
R0114,4317,2343,0.5427380125086866,1330,28.27400277970813,1219.7388927495945,0.05753175816539263,0.15410979847116055,16.320824646745425,54.27380125086866,Recurring Bottleneck,40.407747074046945
R0080,4317,2286,0.5295343988881167,1322,28.365318508223304,1201.2908037989346,0.054489483437572386,0.16217465832754227,13.994301598332175,52.95343988881167,Recurring Bottleneck,40.260464470914584
R0058,4317,2422,0.561037757702108,1348,46.859490386842715,633.361964327079,0.0628094510076442,0.1349583043780403,11.608292795923095,56.103775770210795,Recurring Bottleneck,40.04636099397467
R0304,4317,2271,0.5260597637248089,1303,37.88536715311559,1184.967338429465,0.05286673615936993,0.16070581422283994,14.578318276580958,52.60597637248089,Recurring Bottleneck,39.92801414339747
R0102,4317,2407,0.5575631225388001,1340,47.037125318508224,1862.5932360435488,0.059257678943710916,0.13652744961779015,27.739610840861708,55.75631225388001,Recurring Bottleneck,39.88362612702364
R0254,4317,2437,0.5645123928654158,1318,28.309724345610377,614.8826499884178,0.056342019921241604,0.12552953439888814,12.260667129951356,56.45123928654158,Recurring Bottleneck,39.3197283133922
R0277,4317,2367,0.5482974287699791,1338,28.232557331480194,1229.017836460505,0.05891463979615474,0.1343567292100996,16.480171415334723,54.82974287699791,Recurring Bottleneck,39.24743415138601
R0391,4317,2481,0.5747046560111189,1363,46.865341672457724,1269.303683113273,0.06269156821867038,0.11454134815844337,23.684109335186474,57.47046560111188,Recurring Bottleneck,39.19666519146522
R0345,4317,2459,0.5696085244382673,1349,37.45874681491777,1274.4885568681955,0.06353238359972202,0.11635093815149408,24.95066018068103,56.960852443826724,Recurring Bottleneck,39.102645668743406
R0098,4317,2326,0.5388000926569377,1330,28.296576326152422,1218.7978225619643,0.05678021774380357,0.1384185777160065,17.142506370164465,53.88000926569377,Recurring Bottleneck,39.01282169061097
R0346,4317,2103,0.4871438498957609,1281,28.623861477878158,1689.2284225156359,0.04587215659022469,0.17320384526291407,12.251494093120224,48.71438498957609,Recurring Bottleneck,38.70865144672828
R0123,4317,2512,0.5818855686819551,1360,37.32007412555015,1957.60440120454,0.06699990734306231,0.10043386611072504,43.30528144544822,58.188556868195505,Recurring Bottleneck,38.628121120400046
R0344,4317,2497,0.5784109335186473,1355,46.7535510771369,645.2763493166551,0.06492786657400973,0.10260782951123466,13.25971739634005,57.84109335186473,Recurring Bottleneck,38.55508719565069
R0113,4317,2348,0.5438962242297892,1313,28.250539726662034,1222.4404215890665,0.05831709520500347,0.12588047255038223,18.098239518183924,54.389622422978924,Recurring Bottleneck,38.37446212100585
R0193,4317,2199,0.5093815149409312,1293,37.980664813527916,1163.7549687282835,0.05048318276580959,0.14860435487607135,11.271484827426454,50.93815149409312,Recurring Bottleneck,38.11603326659216
R0130,4317,2066,0.47857308315960156,1251,28.67107945332407,1106.3839935140145,0.044297359277275884,0.16823511697938381,4.969122075515404,47.857308315960154,Recurring Bottleneck,37.860644708735414
